Violation_ID,Frame_Number,Timestamp_Sec,Violation_Type,Rider_Confidence,Plate_Detected,Plate_Text,Plate_Confidence,Plate_Crop_Path,Rider_BBox,Plate_BBox
93,140,2.33,No_helmet,0.83,Yes,N/A,0.49,../results/plate_crops/frame000140_v0_plate.jpg,"[189.03355407714844, 134.89425659179688, 226.80422973632812, 173.8937530517578]","[219.9313201904297, 272.5946960449219, 256.7493896484375, 308.9578857421875]"
94,141,2.35,No_helmet,0.80,Yes,N/A,0.46,../results/plate_crops/frame000141_v0_plate.jpg,"[186.31991577148438, 134.10830688476562, 222.69894409179688, 172.126220703125]","[218.29615783691406, 272.6682434082031, 254.68043518066406, 308.11895751953125]"
95,142,2.37,No_helmet,0.81,Yes,N/A,0.43,../results/plate_crops/frame000142_v0_plate.jpg,"[184.303466796875, 134.26760864257812, 220.29644775390625, 172.2757110595703]","[217.3816375732422, 272.7510986328125, 252.7327117919922, 305.0931091308594]"
96,143,2.38,No_helmet,0.82,Yes,N/A,0.47,../results/plate_crops/frame000143_v0_plate.jpg,"[181.97047424316406, 134.41342163085938, 217.6603546142578, 171.7129669189453]","[215.07493591308594, 269.8672180175781, 251.6851043701172, 305.4250793457031]"
97,144,2.40,No_helmet,0.83,Yes,N/A,0.48,../results/plate_crops/frame000144_v0_plate.jpg,"[180.7240447998047, 134.43362426757812, 216.06549072265625, 171.42880249023438]","[213.48480224609375, 268.1651611328125, 249.88938903808594, 304.42547607421875]"
98,145,2.42,No_helmet,0.83,Yes,N/A,0.49,../results/plate_crops/frame000145_v0_plate.jpg,"[180.4332275390625, 136.43246459960938, 213.98838806152344, 171.28378295898438]","[212.2633514404297, 265.8223876953125, 246.8579559326172, 300.351318359375]"
99,146,2.43,No_helmet,0.84,Yes,N/A,0.44,../results/plate_crops/frame000146_v0_plate.jpg,"[179.0109405517578, 136.94126892089844, 212.68214416503906, 171.89500427246094]","[209.59022521972656, 265.7943420410156, 244.485107421875, 299.8148193359375]"
100,147,2.45,No_helmet,0.82,No,N/A,,,"[177.57208251953125, 137.1728057861328, 210.54806518554688, 171.5640106201172]",
101,148,2.47,No_helmet,0.79,No,N/A,,,"[174.7051544189453, 137.05824279785156, 209.19252014160156, 171.63880920410156]",
102,149,2.48,No_helmet,0.77,Yes,N/A,0.49,../results/plate_crops/frame000149_v0_plate.jpg,"[173.16123962402344, 136.0414276123047, 206.82528686523438, 170.62991333007812]","[206.22311401367188, 266.443115234375, 238.3921356201172, 297.1381530761719]"
103,150,2.50,No_helmet,0.75,Yes,N/A,0.47,../results/plate_crops/frame000150_v0_plate.jpg,"[171.38778686523438, 136.7381134033203, 203.33792114257812, 171.0843963623047]","[204.69313049316406, 265.02752685546875, 238.32534790039062, 296.75433349609375]"
104,151,2.52,No_helmet,0.65,No,N/A,,,"[169.7787628173828, 134.97796630859375, 202.22525024414062, 170.81256103515625]",
105,152,2.53,No_helmet,0.72,Yes,N/A,0.41,../results/plate_crops/frame000152_v0_plate.jpg,"[168.66285705566406, 135.36834716796875, 200.17233276367188, 169.4835205078125]","[202.44174194335938, 262.4178771972656, 231.57418823242188, 291.3641357421875]"
106,153,2.55,No_helmet,0.71,Yes,N/A,0.46,../results/plate_crops/frame000153_v0_plate.jpg,"[167.87200927734375, 136.60809326171875, 197.7659454345703, 169.4313201904297]","[198.78146362304688, 258.42401123046875, 231.66448974609375, 290.29241943359375]"
107,154,2.57,No_helmet,0.79,Yes,N/A,0.48,../results/plate_crops/frame000154_v0_plate.jpg,"[164.754150390625, 136.5552978515625, 193.77224731445312, 168.2357940673828]","[196.41249084472656, 260.4319763183594, 229.0205535888672, 291.82147216796875]"
108,155,2.58,No_helmet,0.79,Yes,N/A,0.56,../results/plate_crops/frame000155_v0_plate.jpg,"[162.61178588867188, 136.56556701660156, 191.7668914794922, 168.7957763671875]","[195.015380859375, 258.5782775878906, 228.19595336914062, 290.74041748046875]"
109,156,2.60,No_helmet,0.78,Yes,N/A,0.57,../results/plate_crops/frame000156_v0_plate.jpg,"[160.9127960205078, 136.8079071044922, 191.12603759765625, 169.5160675048828]","[193.2570037841797, 257.2025451660156, 227.49818420410156, 289.7949523925781]"
110,157,2.62,No_helmet,0.62,Yes,N/A,0.48,../results/plate_crops/frame000157_v0_plate.jpg,"[157.69754028320312, 136.1372833251953, 189.0851287841797, 169.44253540039062]","[192.6261749267578, 255.78054809570312, 224.46131896972656, 288.8821105957031]"
111,158,2.63,No_helmet,0.51,Yes,N/A,0.48,../results/plate_crops/frame000158_v0_plate.jpg,"[158.2659912109375, 138.0699005126953, 188.36940002441406, 169.5459747314453]","[191.11932373046875, 258.50213623046875, 220.12149047851562, 287.3155517578125]"
112,159,2.65,No_helmet,0.70,Yes,N/A,0.44,../results/plate_crops/frame000159_v0_plate.jpg,"[155.00770568847656, 136.9860382080078, 185.44729614257812, 167.7538604736328]","[188.36964416503906, 255.55426025390625, 218.29083251953125, 285.7741394042969]"
113,160,2.67,No_helmet,0.64,Yes,N/A,0.50,../results/plate_crops/frame000160_v0_plate.jpg,"[154.74200439453125, 136.9965057373047, 184.2090606689453, 167.7495574951172]","[187.00311279296875, 255.62188720703125, 217.06114196777344, 284.46221923828125]"
114,161,2.68,No_helmet,0.50,Yes,N/A,0.50,../results/plate_crops/frame000161_v0_plate.jpg,"[150.9446258544922, 137.58335876464844, 180.35372924804688, 168.02015686035156]","[184.71311950683594, 255.12872314453125, 216.29290771484375, 284.5317077636719]"
115,163,2.72,No_helmet,0.37,Yes,N/A,0.42,../results/plate_crops/frame000163_v0_plate.jpg,"[139.4188232421875, 139.28196716308594, 174.16522216796875, 170.21353149414062]","[182.44815063476562, 256.67071533203125, 210.52328491210938, 284.92974853515625]"
116,164,2.73,No_helmet,0.55,No,N/A,,,"[139.4738311767578, 138.537109375, 172.22946166992188, 169.2041778564453]",
117,165,2.75,No_helmet,0.67,Yes,N/A,0.40,../results/plate_crops/frame000165_v0_plate.jpg,"[138.78640747070312, 138.50262451171875, 170.3663787841797, 169.7671661376953]","[176.96719360351562, 253.28126525878906, 206.35726928710938, 280.9970703125]"
118,166,2.77,No_helmet,0.52,No,N/A,,,"[136.9710693359375, 138.4122314453125, 168.9374237060547, 170.04515075683594]",
119,167,2.78,No_helmet,0.30,No,N/A,,,"[136.70396423339844, 138.2136993408203, 166.71763610839844, 169.62098693847656]",
120,168,2.80,No_helmet,0.61,No,N/A,,,"[133.60496520996094, 138.62722778320312, 164.1603546142578, 169.46368408203125]",
121,169,2.82,No_helmet,0.60,No,N/A,,,"[132.15536499023438, 137.39889526367188, 162.47674560546875, 168.75083923339844]",
122,170,2.83,No_helmet,0.64,No,N/A,,,"[130.67947387695312, 137.77674865722656, 160.38768005371094, 168.74424743652344]",
123,172,2.87,No_helmet,0.68,No,N/A,,,"[125.34187316894531, 137.11660766601562, 153.85157775878906, 167.44285583496094]",
124,173,2.88,No_helmet,0.76,No,N/A,,,"[124.09675598144531, 137.0508270263672, 153.34913635253906, 167.24298095703125]",
125,174,2.90,No_helmet,0.70,No,N/A,,,"[120.22925567626953, 136.82089233398438, 150.13467407226562, 167.13929748535156]",
126,175,2.92,No_helmet,0.31,No,N/A,,,"[114.09407806396484, 123.72454071044922, 145.04815673828125, 164.80287170410156]",
127,181,3.02,No_helmet,0.30,No,N/A,,,"[104.14118194580078, 125.56962585449219, 137.02857971191406, 165.5876007080078]",
128,182,3.03,No_helmet,0.53,No,N/A,,,"[100.54042053222656, 128.4952392578125, 135.3907928466797, 165.97711181640625]",
129,183,3.05,No_helmet,0.61,No,N/A,,,"[96.88520812988281, 137.51522827148438, 127.1851577758789, 166.4773712158203]",
130,183,3.05,No_helmet,0.44,No,N/A,,,"[98.08780670166016, 127.63682556152344, 131.0064239501953, 164.860595703125]",
131,184,3.07,No_helmet,0.40,No,N/A,,,"[92.47074890136719, 133.35446166992188, 120.15081024169922, 165.66946411132812]",
132,185,3.08,No_helmet,0.55,No,N/A,,,"[90.6213150024414, 136.30233764648438, 119.48248291015625, 166.6410675048828]",
133,185,3.08,No_helmet,0.33,No,N/A,,,"[92.69161224365234, 129.8380889892578, 122.62189483642578, 165.19955444335938]",
134,186,3.10,No_helmet,0.60,No,N/A,,,"[89.20733642578125, 137.66807556152344, 118.61497497558594, 167.78285217285156]",
135,189,3.15,No_helmet,0.60,No,N/A,,,"[82.72125244140625, 139.2873077392578, 113.65107727050781, 169.0715789794922]",
136,190,3.17,No_helmet,0.76,No,N/A,,,"[79.93708801269531, 141.95498657226562, 111.4313735961914, 170.29246520996094]",
137,191,3.18,No_helmet,0.78,No,N/A,,,"[78.19275665283203, 143.2985382080078, 107.3957290649414, 170.8142852783203]",
138,192,3.20,No_helmet,0.77,No,N/A,,,"[74.62049102783203, 142.36590576171875, 105.1257553100586, 171.60939025878906]",
139,192,3.20,No_helmet,0.35,No,N/A,,,"[560.4793701171875, 131.37002563476562, 575.0698852539062, 146.85440063476562]",
140,193,3.22,No_helmet,0.82,No,N/A,,,"[72.36732482910156, 142.29002380371094, 102.42252349853516, 171.14242553710938]",
141,193,3.22,No_helmet,0.40,No,N/A,,,"[560.030517578125, 131.8081817626953, 574.474853515625, 147.83009338378906]",
142,194,3.23,No_helmet,0.83,No,N/A,,,"[70.18175506591797, 142.55377197265625, 101.19729614257812, 171.28440856933594]",
143,194,3.23,No_helmet,0.41,No,N/A,,,"[560.0492553710938, 131.76724243164062, 574.7543334960938, 147.93360900878906]",
144,195,3.25,No_helmet,0.80,No,N/A,,,"[66.63337707519531, 142.2869415283203, 96.75634765625, 171.00022888183594]",
145,195,3.25,No_helmet,0.38,No,N/A,,,"[560.71240234375, 131.35809326171875, 575.6143188476562, 147.45901489257812]",
146,196,3.27,No_helmet,0.78,No,N/A,,,"[64.52445983886719, 141.17442321777344, 95.11278533935547, 171.25051879882812]",
147,196,3.27,No_helmet,0.34,No,N/A,,,"[560.7498168945312, 131.99258422851562, 575.5821533203125, 148.41539001464844]",
148,197,3.28,No_helmet,0.73,No,N/A,,,"[62.04893112182617, 140.8081512451172, 91.9783935546875, 171.41310119628906]",
149,198,3.30,No_helmet,0.71,No,N/A,,,"[58.718894958496094, 141.28932189941406, 89.88263702392578, 171.57839965820312]",
150,199,3.32,No_helmet,0.74,No,N/A,,,"[56.83668899536133, 141.5926055908203, 88.0499038696289, 171.00096130371094]",
151,200,3.33,No_helmet,0.74,No,N/A,,,"[54.915836334228516, 141.73077392578125, 84.67069244384766, 172.6867218017578]",
152,201,3.35,No_helmet,0.74,No,N/A,,,"[51.90740203857422, 141.77528381347656, 83.0671615600586, 172.81686401367188]",
153,202,3.37,No_helmet,0.66,No,N/A,,,"[49.17202377319336, 141.2065887451172, 81.5762939453125, 172.71295166015625]",
154,203,3.38,No_helmet,0.67,No,N/A,,,"[46.26386260986328, 141.32403564453125, 78.19467163085938, 172.0591583251953]",
155,204,3.40,No_helmet,0.70,No,N/A,,,"[43.19779586791992, 142.68389892578125, 72.9228744506836, 172.72323608398438]",
156,205,3.42,No_helmet,0.73,No,N/A,,,"[40.149349212646484, 144.61349487304688, 69.67430877685547, 173.02064514160156]",
157,206,3.43,No_helmet,0.68,No,N/A,,,"[36.31426239013672, 144.00616455078125, 67.52426147460938, 172.7086181640625]",
158,207,3.45,No_helmet,0.64,No,N/A,,,"[33.378021240234375, 144.20721435546875, 63.480716705322266, 172.77735900878906]",
159,208,3.47,No_helmet,0.71,No,N/A,,,"[29.965669631958008, 143.39105224609375, 62.5390739440918, 172.9989013671875]",
160,209,3.48,No_helmet,0.67,No,N/A,,,"[27.241207122802734, 143.66819763183594, 60.006690979003906, 173.8802490234375]",
161,209,3.48,No_helmet,0.36,No,N/A,,,"[557.5442504882812, 134.4921112060547, 572.99267578125, 149.8662872314453]",
162,210,3.50,No_helmet,0.45,No,N/A,,,"[23.104368209838867, 144.08128356933594, 57.55563735961914, 173.62457275390625]",
163,210,3.50,No_helmet,0.36,No,N/A,,,"[557.076171875, 134.30345153808594, 573.3541870117188, 150.44615173339844]",
164,211,3.52,No_helmet,0.53,No,N/A,,,"[23.44684410095215, 143.9413299560547, 53.497520446777344, 173.44386291503906]",
165,211,3.52,No_helmet,0.32,No,N/A,,,"[557.1883544921875, 134.5985107421875, 573.42724609375, 150.18255615234375]",
166,212,3.53,No_helmet,0.46,No,N/A,,,"[16.559921264648438, 139.67355346679688, 51.484130859375, 172.0623016357422]",
167,213,3.55,No_helmet,0.76,No,N/A,,,"[14.17281436920166, 143.96763610839844, 46.7762336730957, 174.2613983154297]",
168,214,3.57,No_helmet,0.79,No,N/A,,,"[13.217826843261719, 144.31642150878906, 44.81620407104492, 173.81094360351562]",
169,215,3.58,No_helmet,0.74,No,N/A,,,"[11.566191673278809, 145.29295349121094, 41.662723541259766, 172.7477264404297]",
170,216,3.60,No_helmet,0.76,No,N/A,,,"[8.960212707519531, 147.0155029296875, 39.17294692993164, 173.8963623046875]",
171,217,3.62,No_helmet,0.72,No,N/A,,,"[6.213126182556152, 146.1848602294922, 36.58419418334961, 174.04266357421875]",
172,218,3.63,No_helmet,0.60,No,N/A,,,"[3.567232847213745, 145.1139373779297, 32.793827056884766, 172.7354278564453]",
173,219,3.65,No_helmet,0.41,No,N/A,,,"[0.10762491077184677, 141.54881286621094, 28.168659210205078, 172.75146484375]",
174,252,4.20,No_helmet,0.31,No,N/A,,,"[547.36376953125, 142.02650451660156, 561.1746215820312, 158.54299926757812]",
175,254,4.23,No_helmet,0.38,No,N/A,,,"[547.3245239257812, 141.63551330566406, 561.0073852539062, 158.8671875]",
176,255,4.25,No_helmet,0.43,No,N/A,,,"[547.3373413085938, 144.8023681640625, 561.5762329101562, 161.04364013671875]",
177,256,4.27,No_helmet,0.34,No,N/A,,,"[546.7847900390625, 146.1300811767578, 562.5892333984375, 162.61746215820312]",
178,365,6.08,Person_on_Bike,0.34,No,N/A,,,"[820.940185546875, 159.31248474121094, 847.96875, 303.3419494628906]",
179,379,6.32,No_helmet,0.38,No,N/A,,,"[702.9768676757812, 170.179931640625, 742.865966796875, 206.18621826171875]",
180,380,6.33,No_helmet,0.76,No,N/A,,,"[687.7904663085938, 172.5486602783203, 720.6411743164062, 206.10598754882812]",
181,381,6.35,No_helmet,0.77,No,N/A,,,"[672.9366455078125, 173.00607299804688, 705.7886352539062, 204.92599487304688]",
182,384,6.40,No_helmet,0.51,No,N/A,,,"[635.256591796875, 176.2553253173828, 667.5188598632812, 207.10281372070312]",
183,664,11.07,No_helmet,0.40,No,N/A,,,"[652.1238403320312, 175.96511840820312, 684.1454467773438, 204.5581512451172]",
184,671,11.18,No_helmet,0.31,No,N/A,,,"[574.8954467773438, 177.42213439941406, 599.31640625, 207.32408142089844]",
185,1233,20.55,No_helmet,0.32,No,N/A,,,"[588.90576171875, 178.60462951660156, 619.2893676757812, 208.7156982421875]",
186,1234,20.57,No_helmet,0.48,No,N/A,,,"[587.91357421875, 178.73941040039062, 617.7925415039062, 208.52684020996094]",
187,1235,20.58,No_helmet,0.37,No,N/A,,,"[587.5667114257812, 179.08425903320312, 617.0782470703125, 208.65159606933594]",
188,1248,20.80,No_helmet,0.42,No,N/A,,,"[575.1510009765625, 179.1484375, 604.5966796875, 208.79269409179688]",
189,1249,20.82,No_helmet,0.47,No,N/A,,,"[575.01220703125, 179.22964477539062, 604.0696411132812, 208.79786682128906]",
190,1250,20.83,No_helmet,0.38,No,N/A,,,"[574.3626098632812, 179.48382568359375, 602.2982177734375, 208.58517456054688]",
191,1251,20.85,No_helmet,0.54,No,N/A,,,"[574.260498046875, 179.6315460205078, 601.3795776367188, 208.15931701660156]",
192,1252,20.87,No_helmet,0.47,No,N/A,,,"[573.3369140625, 179.72964477539062, 600.5276489257812, 208.36688232421875]",
193,1253,20.88,No_helmet,0.45,No,N/A,,,"[572.1080322265625, 179.73715209960938, 599.8353271484375, 208.77365112304688]",
194,1258,20.97,No_helmet,0.36,No,N/A,,,"[567.8331909179688, 180.25369262695312, 596.5658569335938, 206.8563232421875]",
195,1259,20.98,No_helmet,0.41,No,N/A,,,"[566.71728515625, 180.35757446289062, 594.568359375, 207.9376220703125]",
196,1261,21.02,No_helmet,0.49,No,N/A,,,"[566.4281616210938, 180.44906616210938, 592.468017578125, 207.32183837890625]",
197,1262,21.03,No_helmet,0.49,No,N/A,,,"[565.6151123046875, 180.05580139160156, 592.6069946289062, 207.5278778076172]",
198,1263,21.05,No_helmet,0.47,No,N/A,,,"[565.401123046875, 180.01666259765625, 592.2318115234375, 208.34872436523438]",
199,1264,21.07,No_helmet,0.50,No,N/A,,,"[565.4049682617188, 180.1353759765625, 591.6671752929688, 208.25302124023438]",
200,1265,21.08,No_helmet,0.60,No,N/A,,,"[565.1007080078125, 180.1086883544922, 590.7903442382812, 208.08111572265625]",
201,1266,21.10,No_helmet,0.62,No,N/A,,,"[564.9893798828125, 180.14044189453125, 590.6175537109375, 207.98556518554688]",
202,1267,21.12,No_helmet,0.66,No,N/A,,,"[564.8853149414062, 180.30670166015625, 589.9844360351562, 207.82415771484375]",
203,1358,22.63,No_helmet,0.32,No,N/A,,,"[519.0948486328125, 168.3547821044922, 544.482177734375, 190.56768798828125]",
204,1359,22.65,No_helmet,0.43,No,N/A,,,"[519.1246337890625, 167.8778839111328, 543.8385009765625, 189.84307861328125]",
205,1360,22.67,No_helmet,0.39,No,N/A,,,"[518.5880126953125, 167.58465576171875, 543.5827026367188, 189.93557739257812]",
206,1390,23.17,No_helmet,0.32,No,N/A,,,"[513.4437255859375, 146.24581909179688, 534.2738037109375, 168.1734161376953]",
207,1391,23.18,No_helmet,0.40,No,N/A,,,"[514.3419799804688, 145.9370880126953, 534.509033203125, 167.35658264160156]",
208,1392,23.20,No_helmet,0.40,No,N/A,,,"[513.2953491210938, 145.53282165527344, 534.640380859375, 167.5972137451172]",
209,1393,23.22,No_helmet,0.38,No,N/A,,,"[513.42041015625, 145.4549560546875, 534.61376953125, 167.1866455078125]",
210,1394,23.23,No_helmet,0.42,No,N/A,,,"[513.6602172851562, 144.66827392578125, 534.1279907226562, 165.61448669433594]",
211,1395,23.25,No_helmet,0.38,No,N/A,,,"[513.3662719726562, 144.6395721435547, 533.494873046875, 165.10336303710938]",
212,1396,23.27,No_helmet,0.34,No,N/A,,,"[511.9516906738281, 143.98228454589844, 533.4345703125, 165.34375]",
213,1430,23.83,No_helmet,0.37,No,N/A,,,"[619.7955932617188, 127.10889434814453, 642.1494750976562, 151.39292907714844]",
214,1434,23.90,No_helmet,0.42,No,N/A,,,"[607.1771850585938, 124.9078140258789, 630.3218383789062, 148.4107208251953]",
215,1436,23.93,No_helmet,0.30,No,N/A,,,"[601.9791259765625, 124.68376159667969, 625.53857421875, 147.12506103515625]",
216,1437,23.95,No_helmet,0.33,No,N/A,,,"[598.7552490234375, 125.03577423095703, 621.05908203125, 147.61703491210938]",
217,1460,24.33,No_helmet,0.33,No,N/A,,,"[544.0556640625, 126.34910583496094, 564.142333984375, 147.60777282714844]",
218,1490,24.83,No_helmet,0.48,No,N/A,,,"[509.3656005859375, 94.33192443847656, 536.4717407226562, 123.47804260253906]",
